dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.199920,3.410000,6.200000,4.000000,0.000000,0.000000,0.000000
0.020000,10.279920,3.410000,6.280000,4.000000,0.000000,0.000000,0.000000
0.020000,10.359920,3.410000,6.360000,4.000000,0.000000,0.000000,0.000000
0.020000,10.439920,3.410000,6.440000,4.000000,0.000000,0.000000,0.000000
0.020000,10.519920,3.410000,6.520000,4.000000,-0.000000,-0.000000,0.000000
0.020000,10.599920,3.410000,6.600000,4.000000,0.000000,0.000000,0.000000
0.020000,10.679920,3.410000,6.680000,4.000000,0.000000,-0.000000,0.000000
0.020000,10.759920,3.410000,6.760000,4.000000,0.000000,0.000000,0.000000
0.020000,10.839920,3.410000,6.840000,4.000000,0.000000,0.000000,0.000000
0.020000,10.919920,3.410000,6.920000,4.000000,0.000000,0.000000,0.000000
0.020000,10.999920,3.410000,7.000000,4.000000,0.000000,0.000000,0.000000
0.020000,11.079920,3.410000,7.080000,4.000000,0.000000,0.000000,0.000000
0.020000,11.159920,3.410000,7.160000,4.000000,0.000000,0.000000,0.000000
0.020000,11.239920,3.410000,7.240000,4.000000,0.000000,0.000000,0.000000
0.020000,11.319920,3.410000,7.320000,4.000000,0.000000,0.000000,0.000000
0.020000,11.399920,3.410000,7.400000,4.000000,0.000000,0.000000,0.000000
0.020000,11.479920,3.410000,7.480000,4.000000,0.000000,0.000000,0.000000
0.020000,11.559920,3.410000,7.560000,4.000000,0.000000,0.000000,0.000000
0.020000,11.639920,3.410000,7.640000,4.000000,0.000000,0.000000,0.000000
0.020000,11.719920,3.410000,7.720000,4.000000,0.000000,0.000000,0.000000
0.020000,11.799920,3.410000,7.800000,4.000000,0.000000,0.000000,0.000000
0.020000,11.879920,3.410000,7.880000,4.000000,0.000000,0.000000,0.000000
0.020000,11.959920,3.410000,7.960000,4.000000,0.000000,0.000000,0.000000
0.020000,12.036559,3.410040,8.036639,3.831946,-8.402700,-420.135017,0.002199
0.020000,12.110224,3.410367,8.110305,3.683309,-7.431842,48.542939,0.006691
0.020000,12.183781,3.411027,8.183864,3.677962,-0.267380,358.223059,0.011259
0.020000,12.257224,3.412024,8.257314,3.672489,-0.273641,-0.313041,0.015905
0.020000,12.330549,3.413363,8.330652,3.666887,-0.280065,-0.321206,0.020630
0.020000,12.403753,3.415049,8.403875,3.661154,-0.286656,-0.329556,0.025436
0.020000,12.476830,3.417086,8.476981,3.655286,-0.293418,-0.338079,0.030325
0.020000,12.549776,3.419480,8.549966,3.649279,-0.300346,-0.346422,0.035300
0.020000,12.622587,3.422235,8.622829,3.643130,-0.307458,-0.355582,0.040362
0.020000,12.695257,3.425357,8.695566,3.636835,-0.314744,-0.364278,0.045513
0.020000,12.767780,3.428850,8.768173,3.630391,-0.322208,-0.373241,0.050756
0.020000,12.840153,3.432719,8.840649,3.623794,-0.329860,-0.382561,0.056092
