dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.025310,1.142703,12.079527,4.714153,0.665312,0.429554,0.311912
0.020000,16.115150,1.172182,12.174080,4.727620,0.673347,0.401773,0.322233
0.020000,16.204935,1.202683,12.268905,4.741235,0.680747,0.369998,0.332747
0.020000,16.294651,1.234226,12.364004,4.754984,0.687437,0.334506,0.343457
0.020000,16.384282,1.266831,12.459381,4.768850,0.693329,0.294567,0.354363
0.020000,16.473810,1.300520,12.555038,4.782817,0.698341,0.250609,0.365467
0.020000,16.563216,1.335311,12.650975,4.796865,0.702379,0.201888,0.376770
0.020000,16.652482,1.371225,12.747194,4.810972,0.705352,0.148664,0.388274
0.020000,16.741586,1.408280,12.843697,4.825115,0.707159,0.090349,0.399978
0.020000,16.830507,1.446497,12.940482,4.839269,0.707709,0.027510,0.411883
0.020000,16.919221,1.485894,13.037550,4.853407,0.706895,-0.040694,0.423988
0.020000,17.007703,1.526487,13.134900,4.867499,0.704620,-0.113752,0.436294
0.020000,17.095929,1.568295,13.232530,4.881515,0.700784,-0.191789,0.448798
0.020000,17.183870,1.611334,13.330439,4.895421,0.695290,-0.274694,0.461500
0.020000,17.271499,1.655619,13.428622,4.909182,0.688039,-0.362580,0.474396
0.020000,17.358787,1.701165,13.527078,4.922760,0.678944,-0.454760,0.487485
0.020000,17.445701,1.747984,13.625800,4.936119,0.667914,-0.551484,0.500764
0.020000,17.532210,1.796089,13.724784,4.949216,0.654875,-0.651935,0.514229
0.020000,17.618281,1.845489,13.824025,4.962011,0.639754,-0.756079,0.527875
0.020000,17.703880,1.896193,13.923514,4.974461,0.622494,-0.863004,0.541698
0.020000,17.788971,1.948209,14.023244,4.986522,0.603044,-0.972478,0.555691
0.020000,17.873519,2.001541,14.123207,4.998149,0.581370,-1.083690,0.569850
0.020000,17.957485,2.056194,14.223393,5.009299,0.557457,-1.195673,0.584167
0.020000,18.040832,2.112168,14.323792,5.019925,0.531297,-1.307964,0.598635
0.020000,18.123522,2.169462,14.424391,5.029983,0.502911,-1.419325,0.613245
0.020000,18.205516,2.228074,14.525180,5.039429,0.472330,-1.529032,0.627989
0.020000,18.286775,2.287997,14.626144,5.048222,0.439609,-1.636080,0.642858
0.020000,18.367259,2.349225,14.727271,5.056318,0.404825,-1.739168,0.657842
